NAME,SMILES
CHEMBL2413106,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCCCCCCCCNS(=O)(=O)c4cccc5c(N(C)C)cccc45)ncnc32)[C@H](C)[C@@H]1C
CHEMBL2442054,O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(-c2ccncc2)cc1
CHEMBL2087368,CCCC(=O)O[C@@H]1[C@H](OC(=O)CCC)[C@@H](CNC(=O)NC)O[C@H]1n1cnc2c(NC(=O)Nc3ccccc3)ncnc21
CHEMBL4080740,O=C(COc1ccc(C(=O)Nc2ccc(Br)cc2)cc1)NCc1ccc(OP(=O)(O)O)c(OP(=O)(O)O)c1
CHEMBL1337351,CCOC(=O)c1nn(-c2ccc(C)c(Cl)c2)c(=O)c(C#N)c1C
CHEMBL5207694,Cc1cc(Cl)cc2c1OCC(=O)NC2C(=O)Nc1ccc([N+](=O)[O-])cc1
CHEMBL156367,COC(=O)CC(CCc1cccc(C(=N)N)c1)c1cccc(C(=N)N)c1
CHEMBL3547662,CCOc1ccc(-c2nc(NC(=O)[C@H]3CCCN3)sc2-c2cc(OC)c(OC)c(OC)c2)cc1
CHEMBL119791,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(-c3ccccc3)cc2)c1)C(=O)O
CHEMBL1999828,CC(=O)NNc1nc(C)c(C(=O)NNC(=O)C(=O)Nc2c(C)cccc2C(C)(C)C)s1
CHEMBL4441273,CCc1ccc(NC(=O)CSc2nnc(-c3cc(OC)c(OC)c(OC)c3)[nH]2)cc1
CHEMBL594002,O=C(O)c1cn(Cc2ccc(OC(F)(F)F)cc2)c2cccc(F)c2c1=O
CHEMBL1762057,CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccncc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc(C(F)(F)F)cc1
CHEMBL1626581,C/N=C(/N/N=C/c1ccc(-c2cn3ccccc3[n+]2C)cc1)SC
CHEMBL137251,C[S+](C)CCC(=O)/C=C/c1ccccc1.[I-]
CHEMBL2032330,Cc1nnn(-c2ccccc2)c1C(=O)N1CCN(c2ccc([N+](=O)[O-])cc2Cl)CC1
CHEMBL1557525,O=c1oc(C2(O)CCCCC2)cc2ccc(Br)cc12
CHEMBL4095725,C[n+]1cccc2ccc(N)cc21.[I-]
CHEMBL4164389,C=C1C(=O)O[C@@H]2[C@H]3O[C@]3(C)CC/C=C(/COC(=O)c3ccc4[nH]ccc4c3)CC[C@@H]12
CHEMBL1766796,CC(C)(C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1
CHEMBL163142,CN1c2cc3c(cc2[C@H]2CCCC(C)(C)[C@H]21)c(C(F)(F)F)cc(=O)n3C
CHEMBL1312806,CN(CC(=O)NC1CCN(Cc2ccccc2)CC1)S(=O)(=O)c1ccc2c(c1)c(=O)n(C)c(=O)n2C
CHEMBL4742306,CCCC(=O)c1cccc(-c2ccc(OC)c3nc(C4CC4)nn23)c1
CHEMBL3478971,O=C(c1n[nH]c2c1CCC2)N1CCCC1c1nc(-c2ccccc2)no1
CHEMBL5078829,Cc1ccc(S(=O)(=O)N2Cc3ccccc3-c3sc(Br)cc32)cc1
CHEMBL4756468,O=C(NCCN1CCCC1)c1cc(NCCCN2CCOCC2)nc2ccc(F)cc12
CHEMBL398762,Nc1ccc2nc(N3CCN(C(=O)Nc4ccccc4C(=O)O)CC3)cnc2c1
CHEMBL4569901,Cc1c(C(=O)N2CCCCC2)sc2nc(-c3ccc(Cl)cc3)nn12
CHEMBL4559016,CCON=C1CC(CN2CCN(c3nc(=O)c4cc(C(F)(F)F)cc([N+](=O)[O-])c4s3)CC2)C1
CHEMBL4085468,CCCSc1nc(Sc2ccc(Cl)cc2)c2nnn(CCO)c2n1
CHEMBL152512,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CCNC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(C)C)OC1=O
CHEMBL110841,CCCCC(C)CC(C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)N1CCC[C@H]1C(=O)N1C(=O)C=CC1C)C(C)C)C(C)OC(C)=O
CHEMBL1323413,CCOC(=O)C1(Cc2cccc(OC)c2)CCN(Cc2ccc(OC)c(OC)c2)CC1
CHEMBL2398629,CCOC(=O)[C@@H]1CS[C@]2(N1)C(=O)N(C1CCCCC1)c1ccc(Br)cc12
CHEMBL4635292,CC(C)Oc1cc(N2CCOCC2)nc2c(-c3cccc(C(N)=O)c3)nccc12
CHEMBL3417189,O=C(CCCCCCC(=O)N1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1)NO
CHEMBL1866790,O=C(NN=Cc1ccc(Cl)cc1Cl)c1ccccc1
CHEMBL325298,Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F
CHEMBL5280665,CCN(CC)CCN1C(=O)c2cccc3cc(-n4cc(-c5ccccc5)nn4)cc(c23)C1=O
CHEMBL1642023,C[n+]1cccc(N(CCCCCC2CCCCC2)c2ccc(F)cc2)c1.[I-]
CHEMBL4538645,COc1ccc(C=C(C#N)C#N)cc1OC
CHEMBL3668451,COc1ccc(F)cc1-c1ccnc2[nH]c(C3CCN(C(=O)CN4CCCCC4)CC3)cc12
CHEMBL607637,O[C@@H]1[C@@H](CF)OC(n2c(Cl)nc3cc(Cl)c(Cl)cc32)[C@@H]1O
CHEMBL4095732,CNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3cc(C(=O)NC4CC4)ccc3C)cc1CC2
CHEMBL4893290,Cn1cc(NC(=O)[C@H]2CCOC3(CCCC3)C2)c(C(N)=O)n1
CHEMBL2139340,CNc1nc(N)c([N+](=O)[O-])c(N2CCCCCC2)n1
CHEMBL3662961,Cc1cc(-c2n[nH]c3cc(NC(=O)NC4CCc5cccnc5C4)ncc23)ccn1
CHEMBL2178245,CN1C[C@H](C(=O)Nc2ccc(F)c(Cl)c2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1
CHEMBL555787,Br.COc1cc2c(cc1OC)CN(C)CC2
CHEMBL4211208,O=C([C@@H]1CSCN1Cc1cc(C2CC2)ccc1Cl)N1CCN(C2CC2)c2ccccc21
CHEMBL7358,Nc1nc(N)c2cc(CNC(=O)c3cccc(C(F)(F)F)c3)ccc2n1
